,Date,Region,Class,Commodity,Unit,Number of Stores,Weighted Avg Price,Low Price,High Price
3575,10/11/2019,SOUTHWEST U.S.,VEGETABLES,CELERY,each,35,2.0,1.99,2.0
3555,10/11/2019,SOUTHWEST U.S.,VEGETABLES,ARTICHOKES,each,152,2.5,2.5,2.5
3556,10/11/2019,SOUTHWEST U.S.,VEGETABLES,ASPARAGUS,per pound,"1,465",2.21,0.98,3.99
3557,10/11/2019,SOUTHWEST U.S.,VEGETABLES,BEANS,per pound,195,1.42,0.99,2.49
3558,10/11/2019,SOUTHWEST U.S.,VEGETABLES,BEANS,per pound,8,2.49,2.49,2.49
3559,10/11/2019,SOUTHWEST U.S.,VEGETABLES,BEETS,per pound,13,0.5,0.5,0.5
3560,10/11/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per bunch,35,0.75,0.75,0.75
3561,10/11/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per bunch,269,2.99,2.99,2.99
3562,10/11/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per pound,482,1.5,1.48,2.49
3563,10/11/2019,SOUTHWEST U.S.,VEGETABLES,BRUSSELS SPROUTS,per pound,21,2.06,1.49,2.5
3576,10/11/2019,SOUTHWEST U.S.,VEGETABLES,CELERY,each,50,2.0,2.0,2.0
3564,10/11/2019,SOUTHWEST U.S.,VEGETABLES,CABBAGE,per pound,55,0.37,0.33,0.5
3566,10/11/2019,SOUTHWEST U.S.,VEGETABLES,CACTUS LEAF (NOPALES),per pound,5,0.2,0.2,0.2
3567,10/11/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,1 lb bag,13,0.29,0.25,0.33
3568,10/11/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,2 lb bag,5,0.79,0.79,0.79
3569,10/11/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,per pound,187,0.37,0.25,0.69
3570,10/11/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,1 lb bag,401,1.18,0.99,1.5
3571,10/11/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,1 lb bag,583,1.48,0.99,1.99
3572,10/11/2019,SOUTHWEST U.S.,VEGETABLES,CAULIFLOWER,per pound,67,1.08,0.79,1.99
3573,10/11/2019,SOUTHWEST U.S.,VEGETABLES,CAULIFLOWER,each,53,2.79,2.79,2.79
3574,10/11/2019,SOUTHWEST U.S.,VEGETABLES,CELERY,each,425,0.82,0.33,0.99
3565,10/11/2019,SOUTHWEST U.S.,VEGETABLES,CABBAGE,per pound,12,0.99,0.99,0.99
3412,10/11/2019,SOUTHWEST U.S.,FRUITS,TANGERINES,2 lb bag,336,3.57,3.0,4.0
3600,10/11/2019,SOUTHWEST U.S.,VEGETABLES,MUSTARD,per pound,8,1.99,1.99,1.99
3602,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,263,0.42,0.25,0.99
3627,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SPINACH,per bunch,43,0.96,0.79,0.99
3628,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SPINACH,10 oz package,45,1.99,1.99,1.99
3629,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SPINACH,1 lb package,12,3.99,3.99,3.99
3630,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SPINACH,5 - 6 oz package,122,3.07,3.0,3.99
3631,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,494,0.97,0.69,1.0
3632,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,349,1.32,0.99,1.77
3633,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,22,0.89,0.69,1.0
3634,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,376,1.32,0.69,1.79
3635,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,162,0.68,0.5,0.99
3626,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SALAD,5 - 9 oz package,988,2.96,2.49,3.99
3636,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,14,1.0,1.0,1.0
3638,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,395,1.0,0.99,1.49
3639,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,537,0.9,0.49,1.49
3640,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,12,1.89,1.89,1.89
3641,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SWEET POTATOES,per pound,106,0.76,0.5,1.99
3642,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SWEET POTATOES,per pound,57,1.53,1.49,1.99
3643,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SWISS CHARD,per pound,8,1.99,1.99,1.99
3644,10/11/2019,SOUTHWEST U.S.,VEGETABLES,TOMATILLOS,per pound,215,0.6,0.25,0.99
3645,10/11/2019,SOUTHWEST U.S.,VEGETABLES,TOMATOES,per pound,445,0.55,0.49,0.99
3646,10/11/2019,SOUTHWEST U.S.,VEGETABLES,TOMATOES,per pound,54,3.14,2.99,3.99
3637,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,323,1.3,0.99,1.77
3601,10/11/2019,SOUTHWEST U.S.,VEGETABLES,ONIONS GREEN,per bunch,234,0.34,0.2,0.5
3625,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SALAD,10 - 12 oz package,13,3.99,3.99,3.99
3623,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SALAD,10 - 12 oz package,800,2.72,1.29,3.0
3603,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",per pound,13,0.99,0.99,0.99
3604,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,659,0.91,0.44,1.0
3605,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,146,1.48,1.48,1.48
3606,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",per pound,46,2.99,2.99,2.99
3607,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,717,0.9,0.44,1.0
3608,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",per pound,337,2.45,0.69,2.99
3609,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,146,1.48,1.48,1.48
3610,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",per pound,46,2.99,2.99,2.99
3611,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,667,0.91,0.44,1.0
3624,10/11/2019,SOUTHWEST U.S.,VEGETABLES,SALAD,5 - 9 oz package,151,1.93,1.5,2.5
3612,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",per pound,46,2.99,2.99,2.99
3614,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",per pound,46,2.99,2.99,2.99
3615,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, OTHER",per pound,232,0.54,0.33,0.99
3616,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, OTHER",1 lb package,11,2.98,2.98,2.98
3617,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, OTHER",per pound,53,0.53,0.49,0.89
3618,10/11/2019,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,each,838,4.82,2.0,9.99
3619,10/11/2019,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,per pound,122,0.44,0.19,0.5
3620,10/11/2019,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,each,268,0.89,0.89,0.99
3621,10/11/2019,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,per pound,275,1.04,0.99,1.89
3622,10/11/2019,SOUTHWEST U.S.,VEGETABLES,RADISHES,per bunch,102,0.48,0.2,0.5
3613,10/11/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,146,1.48,1.48,1.48
3411,10/11/2019,SOUTHWEST U.S.,FRUITS,STRAWBERRIES,1 lb package,8,5.49,5.49,5.49
3742,10/18/2019,SOUTHWEST U.S.,VEGETABLES,TOMATOES,per pound,149,0.67,0.47,1.29
3417,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLE PEARS,per pound,89,1.99,1.99,1.99
3478,10/18/2019,SOUTHWEST U.S.,FRUITS,PAPAYA,per pound,123,0.95,0.33,1.59
3477,10/18/2019,SOUTHWEST U.S.,FRUITS,ORANGES,per pound,37,0.69,0.69,0.69
3476,10/18/2019,SOUTHWEST U.S.,FRUITS,ORANGES,4 lb bag,11,3.98,3.98,3.98
3475,10/18/2019,SOUTHWEST U.S.,FRUITS,ORANGES,per pound,984,1.41,0.33,1.69
3474,10/18/2019,SOUTHWEST U.S.,FRUITS,MANGOES,each,108,1.45,1.0,1.99
3473,10/18/2019,SOUTHWEST U.S.,FRUITS,LIMES,per pound,201,0.5,0.44,0.89
3472,10/18/2019,SOUTHWEST U.S.,FRUITS,LIMES,each,20,0.1,0.1,0.1
3471,10/18/2019,SOUTHWEST U.S.,FRUITS,LEMONS,2 lb bag,13,2.99,2.99,2.99
3470,10/18/2019,SOUTHWEST U.S.,FRUITS,LEMONS,each,17,0.5,0.5,0.5
3469,10/18/2019,SOUTHWEST U.S.,FRUITS,KIWIFRUIT,1 lb bag,1,2.99,2.99,2.99
3468,10/18/2019,SOUTHWEST U.S.,FRUITS,KIWIFRUIT,each,54,0.33,0.33,0.33
3467,10/18/2019,SOUTHWEST U.S.,FRUITS,HONEYDEWS,per pound,8,0.99,0.99,0.99
3466,10/18/2019,SOUTHWEST U.S.,FRUITS,GRAPES,per pound,460,2.55,2.49,3.99
3465,10/18/2019,SOUTHWEST U.S.,FRUITS,GRAPES,per pound,"2,245",1.87,0.97,2.99
3464,10/18/2019,SOUTHWEST U.S.,FRUITS,GRAPES,per pound,460,2.55,2.49,3.99
3462,10/18/2019,SOUTHWEST U.S.,FRUITS,GRAPES,per pound,9,1.29,1.29,1.29
3461,10/18/2019,SOUTHWEST U.S.,FRUITS,GRAPES,per pound,5,2.99,2.99,2.99
3479,10/18/2019,SOUTHWEST U.S.,FRUITS,PAPAYA,per pound,72,2.49,2.49,2.49
3480,10/18/2019,SOUTHWEST U.S.,FRUITS,PEACHES,per pound,834,0.99,0.88,1.29
3481,10/18/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,"1,075",1.26,0.5,1.69
3502,10/18/2019,SOUTHWEST U.S.,FRUITS,WATERMELONS,per pound,144,0.25,0.19,0.33
3484,10/18/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,30,1.91,1.49,2.49
3485,10/18/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,848,1.36,0.69,1.69
3486,10/18/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,30,1.91,1.49,2.49
3487,10/18/2019,SOUTHWEST U.S.,FRUITS,PERSIMMONS,each,50,0.79,0.79,0.79
3488,10/18/2019,SOUTHWEST U.S.,FRUITS,PERSIMMONS,per pound,155,1.15,0.99,1.5
3489,10/18/2019,SOUTHWEST U.S.,FRUITS,PINEAPPLES,each,616,2.24,0.49,2.99
3490,10/18/2019,SOUTHWEST U.S.,FRUITS,PINEAPPLES,per pound,236,0.54,0.49,0.79
3491,10/18/2019,SOUTHWEST U.S.,FRUITS,PINEAPPLES,each,12,2.99,2.99,2.99
3460,10/18/2019,SOUTHWEST U.S.,FRUITS,GRAPES,per pound,"1,096",1.98,1.49,2.79
3492,10/18/2019,SOUTHWEST U.S.,FRUITS,PLUMS,per pound,470,0.98,0.33,0.99
3494,10/18/2019,SOUTHWEST U.S.,FRUITS,RASPBERRIES,6 oz package,"1,395",2.57,1.25,3.99
3495,10/18/2019,SOUTHWEST U.S.,FRUITS,RASPBERRIES,6 oz package,194,3.31,2.5,3.33
3496,10/18/2019,SOUTHWEST U.S.,FRUITS,STRAWBERRIES,1 lb package,932,2.19,0.99,4.99
3497,10/18/2019,SOUTHWEST U.S.,FRUITS,STRAWBERRIES,1 lb package,17,5.99,5.99,5.99
3498,10/18/2019,SOUTHWEST U.S.,FRUITS,TANGERINES,2 lb bag,260,5.0,5.0,5.0
3499,10/18/2019,SOUTHWEST U.S.,FRUITS,TANGERINES,per pound,121,1.62,0.99,1.99
3500,10/18/2019,SOUTHWEST U.S.,FRUITS,WATERMELONS,each,433,2.03,0.97,2.5
3501,10/18/2019,SOUTHWEST U.S.,FRUITS,WATERMELONS,each,621,3.67,2.5,3.69
3493,10/18/2019,SOUTHWEST U.S.,FRUITS,POMEGRANATES,each,519,2.26,0.89,2.99
3416,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLE PEARS,each,13,1.42,0.5,2.0
3459,10/18/2019,SOUTHWEST U.S.,FRUITS,CRANBERRIES,12 oz bag,56,2.5,2.5,2.5
3457,10/18/2019,SOUTHWEST U.S.,FRUITS,CANTALOUPS,each,18,2.75,2.5,2.99
3434,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,872,1.84,0.89,2.99
3433,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,12,2.29,2.29,2.29
3432,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,2 lb bag,190,3.99,3.99,3.99
3431,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,556,0.95,0.5,1.99
3430,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,5 lb bag,96,2.99,2.99,2.99
3429,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,3 lb bag,370,3.41,1.99,3.49
3428,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,8,2.29,2.29,2.29
3427,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,8,1.99,1.99,1.99
3426,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,80,1.11,0.99,1.79
3425,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,2 lb bag,195,3.96,2.99,3.99
3424,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,"1,014",1.27,0.5,1.99
3423,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,5 lb bag,96,2.99,2.99,2.99
3422,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,3 lb bag,370,3.41,1.99,3.49
3421,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,166,1.46,0.99,2.99
3420,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,2 lb bag,195,3.96,2.99,3.99
3419,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,"1,150",1.33,0.39,1.69
3418,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,3 lb bag,370,3.41,1.99,3.49
3435,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,2 lb bag,190,3.99,3.99,3.99
3436,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,487,2.71,1.98,4.99
3437,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,8,1.99,1.99,1.99
3438,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,264,1.49,1.49,1.49
3456,10/18/2019,SOUTHWEST U.S.,FRUITS,BLUEBERRIES,6 oz package,336,3.19,3.0,3.33
3455,10/18/2019,SOUTHWEST U.S.,FRUITS,BLUEBERRIES,6 oz package,471,2.26,1.49,3.33
3454,10/18/2019,SOUTHWEST U.S.,FRUITS,BLUEBERRIES,18 oz package,113,6.99,6.99,6.99
3453,10/18/2019,SOUTHWEST U.S.,FRUITS,BLUEBERRIES,1 pint package,225,4.99,4.99,4.99
3452,10/18/2019,SOUTHWEST U.S.,FRUITS,BLACKBERRIES,5.6 - 6 oz package,336,3.19,3.0,3.33
3451,10/18/2019,SOUTHWEST U.S.,FRUITS,BLACKBERRIES,5.6 - 6 oz package,"1,612",2.38,1.49,3.99
3450,10/18/2019,SOUTHWEST U.S.,FRUITS,BANANAS,per pound,179,0.4,0.25,0.5
3449,10/18/2019,SOUTHWEST U.S.,FRUITS,AVOCADOS,each,9,1.99,1.99,1.99
3458,10/18/2019,SOUTHWEST U.S.,FRUITS,CANTALOUPS,per pound,142,0.38,0.33,0.5
3448,10/18/2019,SOUTHWEST U.S.,FRUITS,AVOCADOS,each,169,2.41,1.25,2.5
3446,10/18/2019,SOUTHWEST U.S.,FRUITS,"APPLES, PROCESSED",64 oz (1/2 gallon),7,7.98,7.98,7.98
3445,10/18/2019,SOUTHWEST U.S.,FRUITS,"APPLES, PROCESSED",128 oz (1 gallon),612,5.0,5.0,5.0
3444,10/18/2019,SOUTHWEST U.S.,FRUITS,"APPLES, PROCESSED",64 oz (1/2 gallon),15,2.99,2.99,2.99
3443,10/18/2019,SOUTHWEST U.S.,FRUITS,"APPLES, PROCESSED",64 oz (1/2 gallon),994,1.93,1.67,2.59
3442,10/18/2019,SOUTHWEST U.S.,FRUITS,"APPLES, PROCESSED",128 oz (1 gallon),179,4.02,3.89,6.79
3441,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,8,2.29,2.29,2.29
3440,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,per pound,23,1.11,0.33,1.99
3439,10/18/2019,SOUTHWEST U.S.,FRUITS,APPLES,3 lb bag,370,3.41,1.99,3.49
3447,10/18/2019,SOUTHWEST U.S.,FRUITS,AVOCADOS,each,"2,129",0.96,0.25,2.0
3463,10/18/2019,SOUTHWEST U.S.,FRUITS,GRAPES,per pound,"2,737",1.74,0.75,2.99
3482,10/18/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,188,1.51,1.49,1.99
3702,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",per pound,77,1.03,0.5,1.99
3684,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CHINESE CABBAGE,per pound,72,0.44,0.44,0.44
3685,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CORN-SWEET,each,427,0.43,0.25,0.5
3686,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CUCUMBERS,each,598,0.35,0.2,0.99
3687,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CUCUMBERS,each,146,0.88,0.88,0.88
3688,10/18/2019,SOUTHWEST U.S.,VEGETABLES,EGGPLANT,each,8,2.5,2.5,2.5
3689,10/18/2019,SOUTHWEST U.S.,VEGETABLES,GARLIC,per sleeve,105,1.39,1.29,1.5
3690,10/18/2019,SOUTHWEST U.S.,VEGETABLES,KALE GREENS,per bunch,11,0.45,0.25,0.69
3691,10/18/2019,SOUTHWEST U.S.,VEGETABLES,KALE GREENS,per bunch,139,1.19,0.99,2.0
3692,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, BOSTON",each,8,1.69,1.69,1.69
3683,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CHAYOTE,per pound,28,0.64,0.39,0.69
3693,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, GREEN LEAF",each,8,1.69,1.69,1.69
3695,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, RED LEAF",each,8,1.69,1.69,1.69
3696,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, ROMAINE",3 count package,50,1.67,1.67,1.67
3697,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, ROMAINE",3 count package,36,2.87,2.5,3.99
3698,10/18/2019,SOUTHWEST U.S.,VEGETABLES,MUSHROOMS,8 oz package,180,2.5,1.49,2.69
3699,10/18/2019,SOUTHWEST U.S.,VEGETABLES,ONIONS GREEN,per bunch,114,0.45,0.2,0.99
3700,10/18/2019,SOUTHWEST U.S.,VEGETABLES,ONIONS GREEN,per bunch,50,0.5,0.5,0.5
3701,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,486,0.75,0.33,1.0
3657,10/18/2019,SOUTHWEST U.S.,VEGETABLES,BEANS,per pound,265,1.46,0.99,2.49
3703,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,12,0.89,0.89,0.89
3694,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"LETTUCE, ICEBERG",each,50,0.5,0.5,0.5
3704,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,412,0.97,0.33,1.25
3682,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CHAYOTE,each,44,0.32,0.25,0.33
3680,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CELERY,each,286,1.17,0.25,1.5
3660,10/18/2019,SOUTHWEST U.S.,VEGETABLES,BEETS,per bunch,9,2.69,2.69,2.69
3661,10/18/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per pound,16,0.99,0.99,0.99
3662,10/18/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per bunch,9,2.99,2.99,2.99
3663,10/18/2019,SOUTHWEST U.S.,VEGETABLES,BROCCOLI,per pound,971,1.53,0.99,1.99
3664,10/18/2019,SOUTHWEST U.S.,VEGETABLES,BRUSSELS SPROUTS,per pound,454,1.92,1.48,2.29
3665,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CABBAGE,per pound,37,0.5,0.49,0.5
3666,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CABBAGE,per pound,135,0.46,0.2,0.89
3667,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CABBAGE,per pound,15,1.49,1.49,1.49
3668,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CACTUS LEAF (NOPALES),per pound,11,0.99,0.99,0.99
3681,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CELERY,each,85,2.09,1.99,2.49
3669,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,1 lb bag,66,0.48,0.33,0.5
3671,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,per pound,5,0.5,0.5,0.5
3672,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,1 lb bag,4,2.99,2.99,2.99
3673,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,per bunch,15,3.49,3.49,3.49
3674,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,1 lb bag,103,0.89,0.5,1.0
3675,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,2 lb bag,620,1.5,1.49,1.99
3676,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,1 lb bag,272,2.43,0.99,2.5
3677,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CAULIFLOWER,each,664,1.7,1.19,2.99
3678,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CAULIFLOWER,per pound,190,0.99,0.99,0.99
3679,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CAULIFLOWER,per pound,53,2.29,2.29,2.29
3670,10/18/2019,SOUTHWEST U.S.,VEGETABLES,CARROTS,2 lb bag,20,1.39,0.79,1.59
3659,10/18/2019,SOUTHWEST U.S.,VEGETABLES,BEETS,per pound,45,0.5,0.5,0.5
3705,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,692,0.98,0.33,1.25
3707,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",per pound,46,2.99,2.99,2.99
3732,10/18/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,422,1.31,0.98,1.49
3733,10/18/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,172,0.99,0.99,0.99
3734,10/18/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,446,0.81,0.44,1.0
3735,10/18/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,171,1.49,1.49,1.49
3736,10/18/2019,SOUTHWEST U.S.,VEGETABLES,SWEET POTATOES,per pound,303,1.0,0.44,1.29
3737,10/18/2019,SOUTHWEST U.S.,VEGETABLES,SWEET POTATOES,per pound,12,1.68,1.68,1.68
3738,10/18/2019,SOUTHWEST U.S.,VEGETABLES,SWISS CHARD,per bunch,28,1.81,1.67,1.99
3739,10/18/2019,SOUTHWEST U.S.,VEGETABLES,TOMATILLOS,per pound,251,0.53,0.33,0.99
3740,10/18/2019,SOUTHWEST U.S.,VEGETABLES,TOMATOES,per pound,342,1.57,0.44,2.49
3731,10/18/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,592,0.97,0.59,1.29
3741,10/18/2019,SOUTHWEST U.S.,VEGETABLES,TOMATOES,per pound,8,3.99,3.99,3.99
3743,10/18/2019,SOUTHWEST U.S.,VEGETABLES,TOMATOES,per pound,"1,389",1.7,0.69,1.99
3744,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",1 pint package,12,0.87,0.79,0.99
3745,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",10 oz package,8,1.66,1.66,1.66
3746,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",1 pint package,56,2.0,2.0,2.0
3747,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, GRAPE TYPE",10 oz package,16,2.5,2.5,2.5
3748,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"TOMATOES, PLUM TYPE",per pound,127,0.67,0.49,1.99
3656,10/18/2019,SOUTHWEST U.S.,VEGETABLES,ASPARAGUS,per pound,"1,683",2.41,1.49,3.99
3655,10/18/2019,SOUTHWEST U.S.,VEGETABLES,ARTICHOKES,each,5,1.99,1.99,1.99
3654,10/18/2019,SOUTHWEST U.S.,VEGETABLES,ARTICHOKES,each,72,2.08,1.79,2.99
3483,10/18/2019,SOUTHWEST U.S.,FRUITS,PEARS,per pound,538,0.94,0.5,1.69
3706,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",per pound,64,2.77,1.99,2.99
3730,10/18/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,69,0.78,0.5,1.39
3728,10/18/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,602,0.96,0.5,1.29
3708,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",each,672,0.98,0.33,1.25
3709,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, BELL TYPE",per pound,8,2.49,2.49,2.49
3710,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, OTHER",per pound,223,0.52,0.33,1.0
3711,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, OTHER",1 lb package,439,3.01,2.99,3.99
3712,10/18/2019,SOUTHWEST U.S.,VEGETABLES,"PEPPERS, OTHER",per pound,166,0.63,0.33,0.99
3713,10/18/2019,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,each,"1,249",4.72,2.99,5.0
3714,10/18/2019,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,per pound,81,0.4,0.1,0.5
3715,10/18/2019,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,each,9,4.99,4.99,4.99
3716,10/18/2019,SOUTHWEST U.S.,VEGETABLES,PUMPKINS,each,4,2.5,2.5,2.5
3729,10/18/2019,SOUTHWEST U.S.,VEGETABLES,SQUASH,per pound,460,1.3,0.69,1.5
3717,10/18/2019,SOUTHWEST U.S.,VEGETABLES,RADISHES,per bunch,101,0.6,0.33,1.67
